"","country","cases","rate","lat","lng"
"213","Romania",740732,2580,45.9432,24.9668
"214","Russia",3891274,16444,61.52401,105.318756
"215","Rwanda",16186,198,-1.9403,29.8739
"216","Saint Kitts and Nevis",40,1,17.357822,-62.782998
"217","Saint Lucia",1556,0,13.9094,-60.9789
"218","Saint Vincent and the Grenadines",1170,103,12.9843,-61.2872
"219","Samoa",2,0,-13.759,-172.1046
"220","San Marino",3111,0,43.9424,12.4578
"221","Sao Tome and Principe",1346,48,0.1864,6.6131
"222","Saudi Arabia",369575,327,23.885942,45.079162
"223","Senegal",28106,373,14.4974,-14.4524
"224","Serbia",404668,1968,44.0165,21.0059
"225","Seychelles",1289,0,-4.6796,55.492
"226","Sierra Leone",3759,31,8.460555,-11.779889
"227","Singapore",59649,25,1.2833,103.8333
"228","Slovakia",259533,2630,48.669,19.699
"229","Slovenia",172299,959,46.1512,14.9955
"230","Solomon Islands",17,0,-9.6457,160.1562
"231","Somalia",4814,0,5.152149,46.199616
"232","South Africa",1470516,3749,-30.5595,22.9375
"233","South Sudan",4355,88,6.877,31.307
"234","Spain",2941990,28565,40.463667,-3.74922
"235","Sri Lanka",67850,735,7.873054,80.771797
"236","Sudan",29634,57,12.8628,30.2176
"237","Suriname",8619,24,3.9193,-56.0278
"238","Sweden",588062,3388,60.128161,18.643501
"239","Switzerland",531873,1584,46.8182,8.2275
"240","Syria",14338,71,34.802075,38.996815
"241","Taiwan*",923,4,23.7,121
"242","Tajikistan",13308,0,38.861,71.2761
"243","Tanzania",509,0,-6.369028,34.888822
"244","Thailand",23134,1076,15.870032,100.992541
"245","Timor-Leste",80,0,-8.874217,125.727539
"246","Togo",5356,66,8.6195,0.8248
"247","Trinidad and Tobago",7607,0,10.6918,-61.2225
"248","Tunisia",215112,1163,33.886917,9.537499
"249","Turkey",2516889,7901,38.9637,35.2433
"250","US",26813772,133558,40,-100
"251","Uganda",39789,54,1.373333,32.290275
"252","Ukraine",1280501,5167,48.3794,31.1656
"253","United Arab Emirates",320126,3251,23.424076,53.847818
"254","United Kingdom",17,0,18.2206,-63.0686
"255","United Kingdom",692,0,32.3078,-64.7505
"256","United Kingdom",114,0,18.4207,-64.64
"257","United Kingdom",400,0,19.3133,-81.2546
"258","United Kingdom",3862,46,49.3723,-2.3644
"259","United Kingdom",45,0,-51.7963,-59.5236
"260","United Kingdom",4170,7,36.1408,-5.3536
"261","United Kingdom",434,0,54.2361,-4.5481
"262","United Kingdom",13,0,16.742498,-62.187366
"263","United Kingdom",1590,37,21.694,-71.7979
"264","United Kingdom",3911573,19114,55.3781,-3.436
"265","Uruguay",44303,499,-32.5228,-55.7658
"266","Uzbekistan",78989,73,41.377491,64.585262
"267","Vanuatu",1,0,-15.3767,166.9592
"268","Venezuela",129231,456,6.4238,-66.5897
"269","Vietnam",1976,19,14.058324,108.277199
"270","West Bank and Gaza",161559,472,31.9522,35.2332
"271","Yemen",2124,2,15.552727,48.516388
"272","Zambia",60427,1424,-13.133897,27.849332
"273","Zimbabwe",34331,160,-19.015438,29.154857
